reading week is just about here
reading week is just about here
Basic
0.6 0.6
432 388.8
Began 492.1323 286 565 -0.1712963 0.4552468
Stationary 492.1538 286 565 -0.1712963 0.4552468
Stationary 492.1672 286 565 -0.1712963 0.4552468
Stationary 492.1814 286 565 -0.1712963 0.4552468
Stationary 492.1963 286 565 -0.1712963 0.4552468
Stationary 492.2114 286 565 -0.1712963 0.4552468
Stationary 492.2277 286 565 -0.1712963 0.4552468
Stationary 492.2428 286 565 -0.1712963 0.4552468
Stationary 492.2604 286 565 -0.1712963 0.4552468
Stationary 492.2727 286 565 -0.1712963 0.4552468
Stationary 492.288 286 565 -0.1712963 0.4552468
Stationary 492.3059 286 565 -0.1712963 0.4552468
Stationary 492.3214 286 565 -0.1712963 0.4552468
Stationary 492.3354 286 565 -0.1712963 0.4552468
Stationary 492.3512 286 565 -0.1712963 0.4552468
Stationary 492.3671 286 565 -0.1712963 0.4552468
Stationary 492.3824 286 565 -0.1712963 0.4552468
Stationary 492.3973 286 565 -0.1712963 0.4552468
Stationary 492.4131 286 565 -0.1712963 0.4552468
Stationary 492.4289 286 565 -0.1712963 0.4552468
Stationary 492.4446 286 565 -0.1712963 0.4552468
Moved 492.4586 277.9265 555.9174 -0.1899848 0.4318861
Moved 492.4748 276.7358 556 -0.1927412 0.4320986
Stationary 492.4905 276.7358 556 -0.1927412 0.4320986
Moved 492.506 276 553.7725 -0.1944444 0.4263695
Moved 492.5219 274.3338 552.3338 -0.1983014 0.4226691
Moved 492.5369 271.79 550.895 -0.2041898 0.4189685
Moved 492.5534 270.4547 548.9095 -0.2072807 0.4138618
Moved 492.5684 268.0237 547.0118 -0.2129081 0.408981
Moved 492.5838 266.9456 545.9456 -0.2154038 0.4062386
Moved 492.5992 264 543 -0.2222222 0.3986624
Moved 492.6139 261.092 540.092 -0.2289538 0.391183
Moved 492.6292 258.2226 537.2226 -0.2355959 0.3838029
Moved 492.6448 252.7023 532.7023 -0.2483742 0.3721767
Moved 492.6607 248.2041 528.2042 -0.2587867 0.3606073
Moved 492.6747 242.8783 524.5855 -0.2711151 0.3513001
Moved 492.6909 238.4664 521.3498 -0.2813277 0.3429778
Moved 492.7065 232.8798 518.4399 -0.2942597 0.3354934
Moved 492.7218 227.1187 513.8391 -0.3075955 0.32366
Moved 492.7368 220.2043 508.3635 -0.3236011 0.3095767
Moved 492.7523 214.5972 504.1979 -0.3365806 0.2988628
Moved 492.768 208.8423 499.8818 -0.349902 0.2877617
Moved 492.7833 204.578 497.052 -0.3597731 0.2804835
Moved 492.7994 201.9434 492.9434 -0.3658718 0.269916
Moved 492.8146 197.9502 487.9336 -0.3751153 0.2570307
Moved 492.8303 190.0255 477.7819 -0.3934595 0.2309203
Moved 492.8466 185.2839 469.2469 -0.4044353 0.2089683
Moved 492.8635 180.6132 460.2263 -0.4152473 0.1857672
Moved 492.8761 176.2906 452.1509 -0.4252533 0.1649972
Moved 492.8922 172.9714 443.9142 -0.4329365 0.1438121
Moved 492.9074 170.871 437.613 -0.4377986 0.1276055
Moved 492.9237 169.5 432 -0.4409722 0.1131687
Moved 492.938 167.4802 428.9603 -0.4456477 0.1053506
Moved 492.9541 165.5697 420.2788 -0.4500701 0.08302159
Moved 492.9679 166 417.4163 -0.4490741 0.07565906
Stationary 492.9823 166 417.4163 -0.4490741 0.07565906
Moved 492.9982 166 407.1121 -0.4490741 0.04915645
Moved 493.014 166 401.3568 -0.4490741 0.03435366
Moved 493.0287 166 397.4157 -0.4490741 0.02421724
Moved 493.045 178.7643 389.1964 -0.4195271 0.003077111
Moved 493.0605 191.6303 380.5798 -0.3897447 -0.01908502
Moved 493.0764 211.6216 371.9514 -0.3434685 -0.04127738
Moved 493.0919 230.6843 364.5829 -0.2993418 -0.06022912
Moved 493.1074 257.8073 359.8386 -0.2365573 -0.07243168
Moved 493.1217 279.3513 356.6865 -0.1866868 -0.08053893
Moved 493.1369 298.2275 354.6414 -0.1429918 -0.08579905
Moved 493.1541 318.177 353.3186 -0.09681255 -0.0892012
Moved 493.1681 329.8191 353 -0.06986315 -0.09002065
Moved 493.183 338.7819 352 -0.04911607 -0.09259266
Moved 493.1997 343.976 352 -0.03709261 -0.09259266
Moved 493.2138 348.292 350.5693 -0.02710193 -0.09627227
Moved 493.23 351.7488 351 -0.01909991 -0.09516476
Moved 493.2466 353.0026 349.9974 -0.01619776 -0.09774321
Moved 493.264 355.8841 350 -0.009527555 -0.09773669
Moved 493.2762 356.8862 350 -0.007207891 -0.09773669
Moved 493.292 358.3215 350 -0.003885329 -0.09773669
Moved 493.3086 359.7612 350 -0.000552684 -0.09773669
Moved 493.3228 361.2 350 0.002777676 -0.09773669
Moved 493.3386 363.2774 350 0.007586579 -0.09773669
Moved 493.3549 366.4191 350 0.01485904 -0.09773669
Moved 493.3698 378.834 363.0174 0.04359722 -0.06425575
Moved 493.3851 404.378 387.1277 0.1027269 -0.00224345
Moved 493.4005 440.5608 421.5008 0.1864833 0.08616447
Moved 493.4167 468.4117 450.9169 0.250953 0.1618233
Moved 493.4314 485.4147 467.4147 0.2903119 0.2042559
Moved 493.4478 498.3285 481.6984 0.3202049 0.2409937
Moved 493.4635 504 487 0.3333333 0.2546296
Moved 493.4775 514.0645 495.0645 0.3566307 0.2753715
Moved 493.493 520.2897 499.9673 0.3710411 0.2879816
Moved 493.5081 524.5224 502.5224 0.3808389 0.2945534
Moved 493.5239 526.2 503 0.3847221 0.2957818
Moved 493.5391 528.6377 504 0.390365 0.2983539
Moved 493.5544 529 505.0775 0.3912036 0.301125
Moved 493.5691 530.5 505 0.3946759 0.3009258
Stationary 493.5853 530.5 505 0.3946759 0.3009258
Moved 493.6017 530 496.4325 0.3935185 0.2788901
Moved 493.624 518.2807 460.7859 0.3663906 0.1872064
Stationary 493.6338 518.2807 460.7859 0.3663906 0.1872064
Moved 493.6455 506.9099 430.8885 0.3400691 0.1103098
Moved 493.6614 495.3522 399.7185 0.3133152 0.03014015
Moved 493.6786 485.1471 365.6472 0.2896924 -0.05749196
Moved 493.6927 479.3801 351.6802 0.2763427 -0.09341518
Moved 493.7079 472.0515 326.3649 0.2593786 -0.1585265
Moved 493.724 468.5219 309.3706 0.2512082 -0.2022361
Moved 493.7397 466.3357 294.0284 0.2461474 -0.2416965
Moved 493.7554 464.8938 280.0442 0.2428097 -0.2776642
Moved 493.7704 463.4569 268.1119 0.2394835 -0.3083541
Moved 493.785 463 259.0833 0.2384259 -0.3315759
Moved 493.8007 463 252.4031 0.2384259 -0.3487576
Moved 493.8172 462.4354 248.3063 0.237119 -0.3592946
Moved 493.8322 462 243.9985 0.2361111 -0.3703742
Moved 493.8484 462 239.682 0.2361111 -0.3814764
Moved 493.8628 461 238.1273 0.2337964 -0.385475
Moved 493.8782 459.689 236.689 0.2307616 -0.3891745
Moved 493.8935 455.774 235 0.221699 -0.3935186
Moved 493.9093 450.5844 235 0.2096861 -0.3935186
Moved 493.9237 425.4208 254.4047 0.151437 -0.3436094
Moved 493.9398 401.9657 274.3102 0.09714285 -0.2924121
Moved 493.9561 369.0895 308.0734 0.02104054 -0.2055725
Moved 493.9709 347.3756 331.8288 -0.02922311 -0.1444733
Moved 493.9851 332.6269 347.3731 -0.06336376 -0.104493
Moved 494.0028 321.1559 361.8051 -0.08991688 -0.06737375
Moved 494.0168 316 367.5 -0.1018519 -0.05272634
Moved 494.0319 309.0547 378.9125 -0.1179289 -0.02337334
Moved 494.0497 304.7162 388.9955 -0.1279717 0.002560321
Moved 494.0622 298.6671 396.9327 -0.1419743 0.02297495
Ended 494.0791 295.5 402 -0.1493056 0.03600815
Candidates 494.2768 12 reasons respond weapons washing taking second exons responds reaching walking reading seconds
Began 495.6801 353 401 -0.01620372 0.03343609
Stationary 495.6984 353 401 -0.01620372 0.03343609
Stationary 495.712 353 401 -0.01620372 0.03343609
Stationary 495.7274 353 401 -0.01620372 0.03343609
Stationary 495.7429 353 401 -0.01620372 0.03343609
Ended 495.7583 353 401 -0.01620372 0.03343609
NextCandidatePanel 495.8028
Began 497.0045 355 403 -0.01157408 0.03858017
Stationary 497.0232 355 403 -0.01157408 0.03858017
Stationary 497.0375 355 403 -0.01157408 0.03858017
Ended 497.0543 355 403 -0.01157408 0.03858017
NextCandidatePanel 497.0974
Began 498.9792 376 402 0.03703703 0.03600815
Stationary 498.9984 376 402 0.03703703 0.03600815
Moved 499.0117 396.0688 402 0.0834926 0.03600815
Moved 499.0271 454.2715 422.4479 0.2182209 0.08860046
Moved 499.0431 520.1754 438.4453 0.3707764 0.1297461
Ended 499.0663 561 446 0.4652777 0.1491768
Accept 499.1005 10 reading
Began 499.9445 284 493 -0.1759259 0.2700616
Stationary 499.9592 284 493 -0.1759259 0.2700616
Stationary 499.9698 284 493 -0.1759259 0.2700616
Stationary 499.982 284 493 -0.1759259 0.2700616
Stationary 499.998 284 493 -0.1759259 0.2700616
Stationary 500.0165 284 493 -0.1759259 0.2700616
Stationary 500.0276 284 493 -0.1759259 0.2700616
Stationary 500.0425 284 493 -0.1759259 0.2700616
Stationary 500.0589 284 493 -0.1759259 0.2700616
Stationary 500.073 284 493 -0.1759259 0.2700616
Stationary 500.0897 284 493 -0.1759259 0.2700616
Stationary 500.1041 284 493 -0.1759259 0.2700616
Stationary 500.1195 284 493 -0.1759259 0.2700616
Stationary 500.135 284 493 -0.1759259 0.2700616
Stationary 500.153 284 493 -0.1759259 0.2700616
Stationary 500.1657 284 493 -0.1759259 0.2700616
Stationary 500.1822 284 493 -0.1759259 0.2700616
