id,scale,size,sentence,WPM
5,1x3,0.75,we run the risk of failure,20.1384
5,1x3,0.75,the quick brown fox jumps over the lazy dog,17.8003
5,1x3,0.75,an offer you cannot refuse,23.2076
5,1x3,0.75,the five boxing wizards jump quickly,15.3496
5,1x3,0.75,he is just like everyone else,18.5378
5,1x3,0.75,love means many things,17.389
5,1x3,0.75,my watch fell in the water,19.432
5,1x3,0.75,breathing is difficult,14.3416
5,1x3,0.75,if at first you do not succeed,18.5471
5,1x3,0.75,please provide your date of birth,17.5136
5,1x3,0.5,the world is a stage,21.7687
5,1x3,0.5,the force is with you,21.4578
5,1x3,0.5,watch out for low flying objects,18.8559
5,1x3,0.5,you must be getting old,18.3109
5,1x3,0.5,my favorite place to visit,17.8214
5,1x3,0.5,yes you are very smart,25.741
5,1x3,0.5,a problem with the engine,20.9996
5,1x3,0.5,the five boxing wizards jump quickly,18.4521
5,1x3,0.5,the quick brown fox jumps over the lazy dog,19.721
5,1x3,0.5,the facts get in the way,21.1967
5,1x3,1,time to go shopping,25.8181
5,1x3,1,one heck of a question,21.7034
5,1x3,1,never too rich and never too thin,20.8016
5,1x3,1,are you talking to me,21.3036
5,1x3,1,all work and no play,17.2625
5,1x3,1,the quick brown fox jumps over the lazy dog,18.1505
5,1x3,1,the power of denial,16.0394
5,1x3,1,do not say anything,17.9782
5,1x3,1,the five boxing wizards jump quickly,17.7442
5,1x3,1,question that must be answered,18.5653
5,1x1,0.75,we run the risk of failure,21.9172
5,1x1,0.75,the quick brown fox jumps over the lazy dog,19.2747
5,1x1,0.75,an offer you cannot refuse,21.9771
5,1x1,0.75,the five boxing wizards jump quickly,17.4147
5,1x1,0.75,he is just like everyone else,19.361
5,1x1,0.75,love means many things,20.2428
5,1x1,0.75,my watch fell in the water,19.9839
5,1x1,0.75,breathing is difficult,16.0024
5,1x1,0.75,if at first you do not succeed,20.1585
5,1x1,0.75,please provide your date of birth,20.431
5,1x1,0.5,the world is a stage,23.1319
5,1x1,0.5,the force is with you,24.3363
5,1x1,0.5,watch out for low flying objects,24.1227
5,1x1,0.5,you must be getting old,22.9943
5,1x1,0.5,my favorite place to visit,18.6035
5,1x1,0.5,yes you are very smart,20.4334
5,1x1,0.5,a problem with the engine,19.7394
5,1x1,0.5,the five boxing wizards jump quickly,18.6311
5,1x1,0.5,the quick brown fox jumps over the lazy dog,17.7161
5,1x1,0.5,the facts get in the way,19.5665
5,1x1,1,time to go shopping,28.9278
5,1x1,1,one heck of a question,23.7724
5,1x1,1,never too rich and never too thin,24.2035
5,1x1,1,are you talking to me,24.5306
5,1x1,1,all work and no play,21.1612
5,1x1,1,the quick brown fox jumps over the lazy dog,20.7606
5,1x1,1,the power of denial,20.5263
5,1x1,1,do not say anything,21.6161
5,1x1,1,the five boxing wizards jump quickly,20.4557
5,1x1,1,question that must be answered,25.3711
