id,scale,size,algorithm,sampleNum,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
1,1x1,0.5,standard,16,0.714286,0.803571,0.857143,0.928571,0.928571,0.946429,0.946429,0.964286,0.964286,0.964286
1,1x1,0.5,DTW,16,0.839286,0.928571,0.946429,0.964286,0.982143,0.982143,1,1,1,1
1,1x1,0.5,standard,32,0.696429,0.785714,0.857143,0.928571,0.928571,0.946429,0.946429,0.964286,0.964286,0.964286
1,1x1,0.5,DTW,32,0.821429,0.928571,0.946429,0.946429,0.964286,0.964286,0.982143,0.982143,0.982143,0.982143
1,1x1,0.5,standard,64,0.696429,0.785714,0.857143,0.928571,0.928571,0.946429,0.946429,0.946429,0.964286,0.964286
1,1x1,0.5,DTW,64,0.821429,0.910714,0.946429,0.946429,0.946429,0.964286,0.982143,0.982143,0.982143,0.982143
1,1x1,0.75,standard,16,0.763636,0.836364,0.927273,0.927273,0.945455,0.945455,0.945455,0.945455,0.945455,0.963636
1,1x1,0.75,DTW,16,0.872727,0.945455,0.981818,0.981818,0.981818,0.981818,0.981818,0.981818,0.981818,0.981818
1,1x1,0.75,standard,32,0.709091,0.818182,0.927273,0.927273,0.927273,0.945455,0.963636,0.963636,0.963636,0.963636
1,1x1,0.75,DTW,32,0.836364,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.981818,0.981818,0.981818
1,1x1,0.75,standard,64,0.709091,0.818182,0.909091,0.909091,0.927273,0.963636,0.963636,0.963636,0.963636,0.963636
1,1x1,0.75,DTW,64,0.836364,0.890909,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.981818
1,1x1,1,standard,16,0.781818,0.854545,0.909091,0.945455,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636
1,1x1,1,DTW,16,0.781818,0.909091,0.909091,0.927273,0.945455,0.963636,0.963636,0.963636,0.981818,0.981818
1,1x1,1,standard,32,0.781818,0.854545,0.909091,0.927273,0.945455,0.945455,0.963636,0.963636,0.963636,0.963636
1,1x1,1,DTW,32,0.8,0.890909,0.890909,0.909091,0.945455,0.945455,0.945455,0.963636,0.963636,0.981818
1,1x1,1,standard,64,0.763636,0.818182,0.909091,0.927273,0.945455,0.945455,0.963636,0.963636,0.963636,0.963636
1,1x1,1,DTW,64,0.8,0.890909,0.890909,0.909091,0.927273,0.945455,0.945455,0.963636,0.963636,0.963636
1,1x3,0.5,standard,16,0.821429,0.946429,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286,0.982143,0.982143
1,1x3,0.5,DTW,16,0.839286,0.910714,0.946429,0.964286,1,1,1,1,1,1
1,1x3,0.5,standard,32,0.785714,0.910714,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286
1,1x3,0.5,DTW,32,0.803571,0.892857,0.946429,0.964286,1,1,1,1,1,1
1,1x3,0.5,standard,64,0.767857,0.875,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286,0.964286
1,1x3,0.5,DTW,64,0.803571,0.875,0.946429,0.964286,1,1,1,1,1,1
1,1x3,0.75,standard,16,0.909091,0.945455,0.981818,0.981818,0.981818,0.981818,1,1,1,1
1,1x3,0.75,DTW,16,0.927273,0.963636,0.981818,1,1,1,1,1,1,1
1,1x3,0.75,standard,32,0.909091,0.945455,0.981818,0.981818,0.981818,0.981818,1,1,1,1
1,1x3,0.75,DTW,32,0.927273,0.963636,0.981818,0.981818,1,1,1,1,1,1
1,1x3,0.75,standard,64,0.909091,0.945455,0.981818,0.981818,0.981818,0.981818,1,1,1,1
1,1x3,0.75,DTW,64,0.909091,0.963636,0.981818,0.981818,1,1,1,1,1,1
1,1x3,1,standard,16,0.745455,0.927273,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
1,1x3,1,DTW,16,0.763636,0.890909,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
1,1x3,1,standard,32,0.763636,0.927273,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
1,1x3,1,DTW,32,0.763636,0.872727,0.927273,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
1,1x3,1,standard,64,0.763636,0.927273,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
1,1x3,1,DTW,64,0.745455,0.872727,0.927273,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
